"a0","name","category","developer","rating"
"a1","Solitaire - Klondike","Card","Kiwi Solitaire","4.3"
"a2","slither.io","Action","Lowtech Studios","4.3"
"a3","UNO \u2122 & Friends","Card","Gameloft","4.0"
"a4","Pok\u00e9mon GO","Adventure","Niantic, Inc.","4.1"
"a5","Preschool basic skills, shapes","Educational","EducaGames. The best educational apps for kids","4.4"
"a6","Hokm Free","Card","EZ Technologies","4.2"
"a7","Preschool Adventures-2","Educational","forqan smart tech","4.1"
"a8","Virtual Pet: Dinosaur life","Educational","AppQuiz","4.2"
"a9","Monster Trucks Game for Kids 2","Educational","razmobi","4.2"
"a10","Belote.com - Free Belote Game","Card","GameDuell","3.7"
"a11","Zoo Time for Kids","Educational","razmobi","4.1"
"a12","\u0645\u0646 \u0633\u064a\u0631\u0628\u062d \u0627\u0644\u0645\u0644\u064a\u0648\u0646 \u0627\u0644\u0645\u0648\u0633\u0648\u0639\u0629","Educational","mdkandro","4.4"
"a13","Kids Brain Trainer (Preschool)","Educational","forqan smart tech","4.2"
"a14","\u0644\u0639\u0628\u0629 \u0630\u0643\u0627\u0621 \u0648\u0627\u062e\u062a\u0628\u0627\u0631 \u0645\u0639\u0644\u0648\u0645\u0627\u062a \u0639\u0627\u0645\u0629","Educational","Geeky Sama","4.1"
"a15","Four Letters","Word","PIKPOK","4.4"
"a16","Spelltower","Puzzle","Zach Gage","4.2"
"a17","Word Search","Word","The Angry Kraken","4.4"
"a18","Word Streak-Words With Friends","Word","Zynga","4.5"
"a19","Just Jumble","Word","Adveractive, Inc.","4.7"
"a20","Toca Kitchen 2","Educational","Toca Boca","4.4"
"a21","Word Search","Word","RJS Tech Solutions LLP","4.3"
"a22","Crossword Puzzle Free","Word","ITSG","4.3"
"a23","Everyday Ten! Ten!","Word","\uace8\ub4e0\ud53c\uadf8\uc5d4\ud130\ud14c\uc778\uba3c\ud2b8(GPE.Co.ltd.,)","3.9"
"a24","Word Wall - Association Game","Word","MochiBits","4.0"
"a25","Wordox The Word Snatcher","Word","IsCool Entertainment","4.3"
"a26","Word Chaos","Word","Giantix Studios","4.1"
"a27","WordBrain","Word","MAG Interactive","4.4"
"a28","Wordfeud FREE","Word","Bertheussen IT","4.4"
"a29","Lollipop: Sweet Taste Match 3","Puzzle","BitMango","4.6"
"a30","Words With Friends \u2013 Play Free","Word","Zynga","4.3"
"a31","Crosswords spanish","Word","Berni Mobile","4.3"
"a32","\u041b\u043e\u0431\u043e\u0442\u0440\u044f\u0441","Word","vladdrummer Games","4.4"
"a33","\u0632\u0648\u0627\u064a\u0627 - \u0644\u0639\u0628\u0629 \u062a\u0631\u0643\u064a\u0628 \u0643\u0644\u0645\u0627\u062a","Word","Finjan Apps","4.7"
"a34","\u0643\u0644\u0645\u0627\u062a \u0645\u062a\u0642\u0627\u0637\u0639\u0629","Word","\u0643\u0644\u0645\u0627\u062a \u0645\u062a\u0642\u0627\u0637\u0639\u0629","4.5"
"a35","\u0423\u0433\u0430\u0434\u0430\u0439 \u0435\u0434\u0443, \u043f\u0440\u043e\u0434\u0443\u043a\u0442\u044b, \u0431\u0440\u044d\u043d\u0434!","Word","Pixelduck Studio","4.4"
"a36","\u041d\u043e\u0432\u044b\u0435 \u0441\u043a\u0430\u043d\u0432\u043e\u0440\u0434\u044b","Word","Maxim Leybovich","4.5"
"a37","\u0644\u0639\u0628\u0629 \u0643\u0644\u0645\u0629 \u0627\u0644\u0633\u0631","Word","Alrazy Labs (ZoZo)","4.6"
"a38","\u0421\u043b\u043e\u0432\u0430 \u0438\u0437 \u0421\u043b\u043e\u0432\u0430","Word","JAT Studio","4.6"
"a39","\u0422\u0435\u0441\u0442 \u043f\u043e \u0440\u0443\u0441\u0441\u043a\u043e\u043c\u0443 \u044f\u0437\u044b\u043a\u0443 2017","Word","INTRIGA-Games","4.5"
"a40","Crossword Champ","Word","Monster Brain Studios","4.4"
"a41","4 Bilder 1 Wort","Word","LOTUM GmbH","4.3"
"a42","Word Search","Word","AndroidCool","4.3"
"a43","Warlings: Armageddon","Strategy","17th Pixel Poland","4.4"
"a44","War of Nations: PvP Domination","Strategy","Rockyou Inc.","3.8"
"a45","Soldiers Inc: Mobile Warfare","Strategy","Plarium Global Ltd","4.4"
"a46","King of Avalon: Dragon Warfare","Strategy","DIANDIAN INTERACTIVE HOLDING","4.2"
"a47","Heroes of War: Orcs vs Knights","Strategy","NEXON M Inc.","4.0"
"a48","Total Domination - Reborn","Strategy","Plarium Global Ltd","3.9"
"a49","Forge of Empires","Strategy","InnoGames GmbH","4.4"
"a50","2020: My Country","Strategy","Game Insight","4.4"
"a51","Angband Variants","Arcade","angdroid.org","4.2"
"a52","The Quest Keeper","Adventure","Tyson Ibele","4.1"
"a53","Delver","Arcade","Priority Interrupt","4.3"
"a54","Wayward Souls","Adventure","Noodlecake Studios Inc","4.6"
"a55","Out There: \u03a9 Edition","Strategy","Mi-Clos Studio","4.6"
"a56","Wordica","Word","Taptics","4.8"
"a57","\u0421\u043b\u043e\u0432\u0430 \u0438\u0437 \u0441\u043b\u043e\u0432\u0430 2015","Word","INTRIGA-Games","4.3"
"a58","Galaxy Wars","Strategy","im30.net","4.1"
"a59","War Dragons","Strategy","Pocket Gems","4.1"
"a60","Star Trek Timelines","Strategy","Disruptor Beam","4.0"
"a61","Rise of the Kings","Strategy","ONEMT Ltd","4.3"
"a62","VEGA Conflict","Strategy","KIXEYE","4.2"
"a63","Imperia Online - Strategy MMO","Strategy","Imperia Online LTD.","4.5"
"a64","March of Empires: War of Lords","Strategy","Gameloft","4.2"
"a65","DomiNations","Strategy","NEXON M Inc.","4.3"
"a66","Evolution: Battle for Utopia","Strategy","My.com B.V.","4.2"
"a67","Dawn of Steel","Strategy","flaregames","4.3"
"a68","Redungeon","Action","Nitrome","4.5"
"a69","Dungeon Ascendance Roguelike","Role Playing","Seramy Games Ltd","4.4"
"a70","1Quest","Role Playing","Ratz 'N' Godz","4.4"
"a71","Quest of Dungeons","Role Playing","David Amador","4.1"
"a72","Sproggiwood","Role Playing","Freehold Games, LLC","4.6"
"a73","bit Dungeon II","Role Playing","Kinto Games","4.3"
"a74","Hoplite","Role Playing","Magma Fortress","4.4"
"a75","Dungelot 2","Role Playing","Red Winter Software","4.0"
"a76","Cardinal Quest 2","Role Playing","Kongregate","4.4"
"a77","Adventurer League 2D Retro RPG","Role Playing","AXFN","4.3"
"a78","Pixel Dungeon","Role Playing","watabou","4.2"
"a79","\u0631\u0634\u0641\u0629: \u0643\u0644\u0645\u0627\u062a \u0645\u062a\u0642\u0627\u0637\u0639\u0629 \u0648\u0635\u0644\u0629 \u0645\u0637\u0648\u0631\u0629","Word","Zytoona","4.6"
"a80","\u0421\u043a\u0430\u043d\u0432\u043e\u0440\u0434\u044b 2017","Word","INTRIGA-Games","4.5"
"a81","\u041b\u043e\u0433\u0438\u043a\u0430 \u0438 \u0434\u0435\u0434\u0443\u043a\u0446\u0438\u044f","Word","Mentality.dev","4.2"
"a82","%99","Word","Krombera","4.3"
"a83","Kim Milyoner Olmak \u0130ster","Word","ESH Medya Grup","4.0"
"a84","\u0627\u0634\u0628\u0643\u0647\u0627 - \u0644\u0639\u0628\u0629 \u062a\u0633\u0644\u064a\u0629 \u0648\u062a\u0641\u0643\u064a\u0631","Word","Zytoona","4.7"
"a85","Driving in speed car","Racing","LeYoo,Inc.","4.0"
"a86","Police vs Crime Driver","Racing","QwRcar Apps","3.9"
"a87","Top Speed: Drag & Fast Racing","Racing","T-Bull","4.6"
"a88","Bike Racing : Off road","Racing","Racing Games Android","3.8"
