,_id,ltable_ID,rtable_ID,ltable_name,ltable_category,ltable_developer,ltable_rating,rtable_name,rtable_category,rtable_developer,rtable_rating,label
1,1,a403,b1,Candy Crush Soda Saga,Casual,King,4.3,Candy Crush Saga,Entertainment,King,4.70807,0
2,2,a1904,b1,Candy Crush Jelly Saga,Puzzle,King,4.3,Candy Crush Saga,Entertainment,King,4.70807,0
3,3,a510,b1,Candy Crush Saga,Casual,King,4.4,Candy Crush Saga,Entertainment,King,4.70807,1
4,4,a657,b2,Super Mario Run,Action,"Nintendo Co., Ltd.",3.7,Super Mario Run,Action,"Nintendo Co., Ltd.",2.97468,1
6,6,a1680,b3,Jetpack Joyride,Arcade,Halfbrick Studios,4.4,Jetpack Joyride,Action,Halfbrick Studios,4.44339,1
7,7,a1572,b4,Despicable Me,Casual,Gameloft,4.4,Despicable Me: Minion Rush,Entertainment,Gameloft,4.53078,0
9,9,a1688,b5,Fruit Ninja,Arcade,Halfbrick Studios,4.3,Fruit Ninja Free,Entertainment,Halfbrick Studios,4.38696,0
15,15,a1589,b6,Temple Run 2,Action,Imangi Studios,4.3,Temple Run,Arcade,"Imangi Studios, LLC",4.04039,0
18,18,a1662,b6,Temple Run,Arcade,Imangi Studios,4.3,Temple Run,Arcade,"Imangi Studios, LLC",4.04039,1
19,19,a1697,b7,Subway Surfers,Arcade,Kiloo,4.5,Subway Surfers,Action,Kiloo,4.49335,1
20,20,a1543,b8,Hill Climb Racing,Racing,Fingersoft,4.4,Hill Climb Racing,Entertainment,Fingersoft,4.44643,1
24,24,a273,b8,Hill Climb Racing 2,Racing,Fingersoft,4.6,Hill Climb Racing,Entertainment,Fingersoft,4.44643,0
30,30,a2433,b9,Sonic Dash,Arcade,SEGA,4.4,Sonic Dash,Action,SEGA,4.58676,1
35,35,a1243,b12,Super Stickman Golf 2,Sports,Noodlecake Studios Inc,4.2,Super Stickman Golf 2,Arcade,Noodlecake Studios Inc,4.6353,1
36,36,a2443,b12,Gun Fu: Stickman 2,Arcade,Dobsoft Studios,4.2,Super Stickman Golf 2,Arcade,Noodlecake Studios Inc,4.6353,0
37,37,a2095,b13,Demi Lovato: Path to Fame,Casual,Episode Interactive,4.5,Demi Lovato: Path to Fame,Entertainment,Episode Interactive,3.94179,1
39,39,a1309,b14,Real Boxing,Sports,Vivid Games S.A.,4.2,Real Boxing,Action,Vivid Games S.A.,4.42387,1
40,40,a1334,b14,Real Boxing 2 ROCKY,Sports,Vivid Games S.A.,4.3,Real Boxing,Action,Vivid Games S.A.,4.42387,0
62,62,a2698,b15,88 Bingo - Free Bingo Games,Board,88 Casino,4.4,Bingo Heaven: FREE BINGO GAME! New for 2016!,Lifestyle,Super Lucky Casino Inc.,4.69052,0
