"ID","name","category","developer","rating"
"b1","Candy Crush Saga","Entertainment","King","4.70807"
"b2","Super Mario Run","Action","Nintendo Co., Ltd.","2.97468"
"b3","Jetpack Joyride","Action","Halfbrick Studios","4.44339"
"b4","Despicable Me: Minion Rush","Entertainment","Gameloft","4.53078"
"b5","Fruit Ninja Free","Entertainment","Halfbrick Studios","4.38696"
"b6","Temple Run","Arcade","Imangi Studios, LLC","4.04039"
"b7","Subway Surfers","Action","Kiloo","4.49335"
"b8","Hill Climb Racing","Entertainment","Fingersoft","4.44643"
"b9","Sonic Dash","Action","SEGA","4.58676"
"b10","Crossy Road - Endless Arcade Hopper","Arcade","HIPSTER WHALE","4.44366"
"b11","Bejeweled Blitz","Puzzle","PopCap","2.74324"
"b12","Super Stickman Golf 2","Arcade","Noodlecake Studios Inc","4.6353"
"b13","Demi Lovato: Path to Fame","Entertainment","Episode Interactive","3.94179"
"b14","Real Boxing","Action","Vivid Games S.A.","4.42387"
"b15","Bingo Heaven: FREE BINGO GAME! New for 2016!","Lifestyle","Super Lucky Casino Inc.","4.69052"
"b16","UNO &amp; Friends","Board","Gameloft","65781 Ratings"
"b17","Spider Solitaire","Card","Brainium Studios LLC","4.70885"
"b18","Pokmon Duel","Strategy","The Pokemon Company","3.07261"
"b19","Memory Matches","Entertainment","Lumate, LLC","3.62595"
"b20","Solitaire Deluxe Social - Classic, Spider, more","Card","Mobile Deluxe","4.56388"
"b21","Dictator 2","Strategy","Tigrido","3.16667"
"b22","STAR WARS: FORCE COLLECTION","Entertainment","KONAMI","3.97727"
"b23","FreeCell","Puzzle","Brainium Studios LLC","4.67917"
"b24","Order &amp; Chaos Duels - Trading Card Game","Card","Gameloft","4.41364"
"b25","Hokm Free","Entertainment","Eiman Zolfaghari","4.2611"
"b26","Spider Solitaire Free!","Lifestyle","Banana &amp; Co.","4.64082"
"b27","Order Up!! Food Truck Wars","Card","Supervillain Studios","2.93333"
"b28","Lollipops","Puzzle","Balloon Island","4.60785"
"b29","Catan","Board","USM","3.81013"
"b30","Tic Tac Toe Glow by TMSOFT","Entertainment","TMSOFT","4.30769"
"b31","Pure Chess","Strategy","Ripstone Ltd","4.44186"
"b32","Fancy Tale - the fashion puzzle game","Puzzle","Sublinet","4.9"
"b33","Christmas Sweeper 3","Puzzle","SmileyGamer BVBA","4.66667"
"b34","Backgammon+","Dice","Adalat Nasibov","3.73887"
"b35","Guess Who? - Freemium","Entertainment","Clement Marty","3.96578"
"b36","Zentomino Free - Relaxing alternative to tangram puzzles","Board","Little White Bear Studios, LLC","3.5"
"b37","10101010: Block Puzzle 10/10 Six Color Bricks Free Game","Entertainment","Linh Nguyen","3.91429"
"b38","Mexican Train Dominoes Gold (Dominos)","Board","Glowing Eye Games Ltd","4.22222"
"b39","100 PICS Puzzles - The biggest jigsaw puzzle game for free","Puzzle","Poptacular Ltd","4.64086"
"b40","Reversi Free!","Entertainment","Optime Software LLC","1909 Ratings"
"b41","Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games)","Games","Top Action Games","4.23112"
"b42","Garfield's Defense: Attack of the Food Invaders","Arcade","Web Prancer","1949 Ratings"
"b43","Really Bad Chess","Board","Zach Gage","4.35593"
"b44","Gold Digger HD","Board","Wei Lee","3.88462"
"b45","Christmas Games - Santa Claus Toy Party for kids","Education","Tiltan Games (2013) LTD","139 Ratings"
"b46","Naval Warfare","Strategy","Untapped","4.89218"
"b47","Make7! Hexa Puzzle","Board","BitMango","4.50432"
"b48","Groops","Puzzle","Torched Media","4.24537"
"b49","Yatzy Ultimate Free - Best Dice Game - roll &amp; win","Board","Seavus DOOEL","3.33333"
"b50","Strategy &amp; Tactics: World War II","Strategy","HeroCraft Ltd.","2.33332"
"b51","Mahjong Worlds Free Tile Matching Solitaire Game","Board","Bytewaves Inc","4.84615"
"b52","5 Free Solitaire Games","dogMelon Pty Ltd","dogMelon Pty Ltd","4.27273"
"b53","Spider Solitaire","Entertainment","Chronological Ltd","4.57721"
"b54","Holiday Charades!","Word","FatChicken Studios","932 Ratings"
"b55","Reigns","Card","Devolver Digital","4.59168"
"b56","yazee","Dice","Timothy Dewey","4.58462"
"b57","Helmet Virtual Reality 3D Joke","Simulation","Mariya Ivanova","2.44443"
"b58","What's Your Choice","Entertainment","BM Tech","247 Ratings"
"b59","Scattergories: A fast-thinking game of categories","Word","Magmic Inc.","4.66667"
"b60","Farkle Dice - Free","Entertainment","Smart Box Design LLC","4.08511"
"b61","Emoji War: Eat 'Em All - Road to Survival in the Crazy Game with jump holes","Entertainment","Nguyen Quang Sang","3.84223"
"b62","Hearts DeLuxe Free. Play the Classic card Game now","Games","Zithromia Games","4.53623"
"b63","Tyrant Unleashed","Role Playing","Kongregate","1871 Ratings"
"b64","Word Search : World's Biggest Wordsearch Puzzle!","Word","AppyNation Ltd.","4.36176"
"b65","Crossy Tiny Bird Tappy - Sky Surfers Jumping","Entertainment","Dung Nguyen","4.66302"
"b66","Threes! Free","Card","Sirvo LLC","3.84068"
"b67","Break The Ice: Snow World","Puzzle","XLsoft Corp.","4.40323"
"b68","Doodle Farm Lite","Board","JoyBits Ltd.","1373 Ratings"
"b69","Cheats with Words - for Words with Friends","Board","Dragosaurus","1.51111"
"b70","Free Cell Classic","Card","Iversoft Solutions","4.09375"
"b71","Compulsive","Entertainment","TMSOFT","4.59999"
"b72","Chess Time - Multiplayer Chess","Strategy","Haptic Apps LLC","4.88888"
"b73","Amazing Bubble Breaker","Action","CoolGig Studio LLC","3.88028"
"b74","Amazing UNBLOCK","Board","Tectum","4.59999"
"b75"," - ","Family","TapNext","4.09183"
"b76","Solitaire Free!!","Board","Cookie Balloon LLC","4.7722"
"b77","Deadman's Cross","Card","SQUARE ENIX INC","4.14286"
"b78","Find the Ball FREE","Entertainment","Natenai Ariyatrakool","3.93631"
"b79","Four in a Row","Family","Ludei","4.0"
"b80","Number Link Free - Logic Path and Line Drawing Board Game","Puzzle","Tapps Tecnologia da Informao Ltda.","4.66667"
"b81","Outwitters","Entertainment","One Man Left","3.75"
"b82","Pyramid Solitaire - Ancient Egypt","Card","Glowing Eye Games Ltd","4.37879"
"b83","Duel Deck","Entertainment","Fabrizio Lagorio","4.85714"
"b84","250+ Solitaires (free)","Card","Alexei Anoshenko","4.33333"
"b85","Shanghai Mahjong","Entertainment","MobileAge","4.23256"
"b86","Wordox The Word Snatcher","Entertainment","IsCool Entertainment","3321 Ratings"
"b87","Aworded Crack (Apalabrados)","Board","Etermax","4.47619"
"b88","Mahjong Shanghai: Free Solitaire like Board Game","Board","Gazzag Servicos de Internet Ltda","4.4"
"b89","The Heist","Entertainment","tap tap tap","4.06364"
"b90","2048 Number Puzzle game + Best 2048 app with unlimited undo feature, 5x5 mode, time survival mode plus #1 multiplayer","Board","Estoty","4.25509"
"b91","Pictopia: Disney Edition","Board","Wonder Forge, Inc","3.66071"
"b92","The Checkers - Classic Board Games","OutOfTheBit Ltd","OutOfTheBit Ltd","4.03191"
"b93","Pentix: Warning! Very Addictive like 5 blocks Tetris Free","Board","LokiTap LLC","3.90438"
"b94","Backgammon Free - Challenging Board &amp; Dice Game","Entertainment","Trivial Technology","4.40123"
"b95","Cribbage Classic","Family","Games By Post LLC","4.60547"
"b96","Chess ++","Games","Fat Bird Games","3.73333"
"b97","Mahjong Jewels Deluxe Brain Training Memory Game!","Education","Boy Howdy Technology LLC","4.80645"
"b98","Bubble Shooter Free 3.0","Board","Pedro Navarro","5341 Ratings"
"b99","Mahjong :)","Entertainment","TicBits Ltd","4.3125"
"b100","Free Chess App","Strategy","Christophe Thron","4415 Ratings"
"b101","Fleet Battle: Battle Series - a Sea Battle game!","Board","smuttlewerk interactive","4.40591"
"b102","Warhammer 40,000: Space Wolf","Card","HeroCraft Ltd.","4.30769"
"b103","King's Cup Free","Lifestyle","Rush Moody","54 Ratings"
"b104","Bingo!!","Entertainment","DoraLogic","4.52988"
"b105","Jewel Adventures","Entertainment","Akkad","4.42856"
"b106","Farkle Live","Entertainment","Playkot, Ltd.","4.56859"
"b107","Soccer Physics","Sports","Otto-Ville Ojala","4.20627"
"b108","FreeCell.","Puzzle","Byterun","3.9125"
"b109","iBaloot - ","Card","Ibtikar Technologies.","3.51282"
"b110","Backgammon Deluxe Free","Board","EnsenaSoft","3.74054"
"b111","QuizCross","Board","MAG Interactive","4.0"
"b112","Doodle With Buddies : Fun Social Multi-player Drawing and Guessing Free Addicting Game to Play Family and Friends","Board","RoboNacho Systems, LLC","3.36095"
"b113","Hammer Fruit - Free Smash Kids Game for iPhone, iPad and iPod touch","Arcade","T-bone, LLC","3.77295"
"b114","Yatzy US - Play the Classic Board Games for Free","Board","UNIQO LP","4.19998"
"b115","Mahjong Epic","Games","Kristanix Games","4.67619"
"b116","Gin Rummy Free","Entertainment","PressOK Entertainment","3.52941"
"b117","100+ Drinking Games: College Dorm Frat Drink Party Beer Games","App Holdings","App Holdings","2.0"
"b118","Solitaire Spiderette","Card","Finger Arts","4.81381"
"b119","Digimon Heroes!","Card","BANDAI NAMCO Entertainment America Inc.","4.52308"
"b120","2048 - Doge Version","Board","Joao Pedro Melo","4.51149"
"b121","Chess App","Strategy","Life-Giving","3.58249"
"b122","Backgammon Live Free board games with friends","Board","Come2Play","4.5"
"b123","Bunny Pop!","Entertainment","BitMango","4.95833"
"b124","Heroes of Camelot","Card","Gaea Mobile Ltd","4.4"
"b125","Guardian Cross","Card","SQUARE ENIX INC","1968 Ratings"
"b126","Solitaire Arena","Card","RockYou, Inc.","4.61223"
"b127","MONOPOLY zAPPed edition","Board","Hasbro, Inc.","2.78873"
"b128","Chess","Strategy","DoraLogic","4.42856"
"b129","Tasty Tale - the crazy cooking puzzle game","Puzzle","Sublinet","4.62295"
"b130","MILLIONAIRE TYCOON : Free Realestate Trading Strategy Board Game","Entertainment","SavySoda","4.08695"
"b131","Magic Towers Solitaire (Tri-Peaks)","Family","Glowing Eye Games Ltd","4.55556"
"b132","Words Crush: Hidden Words!","Entertainment","BitMango","4.48696"
"b133","Blue Block Free (Unblock and Sliding Puzzle)","Puzzle","Martin Demers","3.78947"
"b134","Truth or Dare Dirty with Spin the Bottle (Adult)","Entertainment","Mangobird Inc.","4.66667"
"b135","Fruit Candy Dash FREE - The Kingdom of Geometry Crush Blast Soda Saga (Queen of Jelly Merged Games Free 10)","Social Networking","Hong Lu","4.45833"
"b136","Flow Free: Bridges","Entertainment","Big Duck Games LLC","4.66455"
"b137","Majong","Entertainment","DoraLogic","4.53333"
"b138","Defenders: Tower Defense Origins","Card","NIVAL, INC.","4.41176"
"b139","Find the Ball","Lifestyle","Rivendel Studio","4.19998"
"b140","Mahjong Treasure Quest","Puzzle","VIZOR APPS CORP.","4.52576"
"b141","Ultimate Fan Club - One Direction Edition","Entertainment","Vertebit LLC","4.5489"
"b142","Unblock Me","Entertainment","Kiragames Co., Ltd.","4.76667"
"b143","Mahjong Free!!","Puzzle","Pacific Sun","4.50842"
"b144","Lies Of Astaroth","Card","iFree Studio Limited","4.12047"
"b145","Spider Solitaire Classic","Strategy","Iversoft Solutions","4.02439"
"b146","Jigsaw Puzzle Bug - Amazing HD Jigsaw Puzzles for Adults and Fun Jigsaws for Kids","Puzzle","Digital Strawberry","4.60644"
"b147","Flow Free: Hexes","Entertainment","Big Duck Games LLC","4.70858"
"b148","BBTAN by 111%","Arcade","111%","4.73386"
"b149","Blocks FREE - addictive puzzle game","Board","Den Falske Zebra","4.75"
"b150","Scratchers - Free Instant Scratch Off Lucky Lottery Tickets","Casino","Social Concepts Inc.","3.9562"
"b151","Rival Stars College Football","Sports","PikPok","3.875"
"b152","Gin Rummy Deluxe - The Best Classic Card Game","Entertainment","Speakati Limited","4.67856"
"b153","Tap Black Tiles, Avoid White Tiles","Music","Yui Tung Wong","4.21725"
"b154","Bubble Bust! Free","Arcade","GOES International AB","3.85326"
"b155","Checkers","Entertainment","Itchigoo","4.16822"
"b156","Tic Tac Toe Glow FREE","Entertainment","mobivention GmbH","3.80328"
"b157","Bubble Shooter - Totally Addictive!","Board","Fapps World et Cie S.E.C.S.","3.7007"
"b158","100! Block Puzzle","Entertainment","SILVER LINING COMPANY LIMITED","4.67676"
"b159","Keno Keno FREE","Casino","Robert Suh","3.87121"
"b160","Lottery Scratchers","Casino","App Happy Games LLC","4.52304"
"b161","Blackjack Pro: 21 Vegas Casino","Casino","Avalinx LLC","3.8"
"b162","Vegas Pool Sharks HD Lite","Sports","RESETgame","2437 Ratings"
"b163","Classic Slots - Free Vegas Styled Original Slot Machines","Casino","Phonato Studios","4.5"
"b164","Grand Gin Rummy - Multiplayer Card Game for Free","Entertainment","GameDuell GmbH","3.56"
"b165","Golden Sand Slots","Casino","Monarc Gaming Labs","1024 Ratings"
"b166","Bubble Shooter Free 2.0","Entertainment","Pedro Navarro","8566 Ratings"
"b167","Chess Free","Strategy","Mastersoft Ltd","5.0"
"b168","Slots of Fortune","Casino","David Grant","1.25"
"b169","Casino Party Live","Games","Big Kick Games","2.25"
