"G_ID","G_name","G_category","G_developer","G_rating","A_ID","A_name","A_category","A_developer","A_rating"
"a510","Candy Crush Saga","Casual","King","4.4","b1","Candy Crush Saga","Entertainment","King","4.70807"
"a657","Super Mario Run","Action","Nintendo Co., Ltd.","3.7","b2","Super Mario Run","Action","Nintendo Co., Ltd.","2.97468"
"a1680","Jetpack Joyride","Arcade","Halfbrick Studios","4.4","b3","Jetpack Joyride","Action","Halfbrick Studios","4.44339"
"a1662","Temple Run","Arcade","Imangi Studios","4.3","b6","Temple Run","Arcade","Imangi Studios, LLC","4.04039"
"a1697","Subway Surfers","Arcade","Kiloo","4.5","b7","Subway Surfers","Action","Kiloo","4.49335"
"a1543","Hill Climb Racing","Racing","Fingersoft","4.4","b8","Hill Climb Racing","Entertainment","Fingersoft","4.44643"
"a2433","Sonic Dash","Arcade","SEGA","4.4","b9","Sonic Dash","Action","SEGA","4.58676"
"a1243","Super Stickman Golf 2","Sports","Noodlecake Studios Inc","4.2","b12","Super Stickman Golf 2","Arcade","Noodlecake Studios Inc","4.6353"
"a2095","Demi Lovato: Path to Fame","Casual","Episode Interactive","4.5","b13","Demi Lovato: Path to Fame","Entertainment","Episode Interactive","3.94179"
"a1309","Real Boxing","Sports","Vivid Games S.A.","4.2","b14","Real Boxing","Action","Vivid Games S.A.","4.42387"
"a2322","Threes! Free","Puzzle","Sirvo llc","4.2","b66","Threes! Free","Card","Sirvo LLC","3.84068"
"a25","Wordox The Word Snatcher","Word","IsCool Entertainment","4.3","b86","Wordox The Word Snatcher","Entertainment","IsCool Entertainment","3321 Ratings"
"a2822","Mahjong Epic","Board","Kristanix Games","4.5","b115","Mahjong Epic","Games","Kristanix Games","4.67619"
"a209","Heroes of Camelot","Role Playing","Gaea Mobile Limited","4.3","b124","Heroes of Camelot","Card","Gaea Mobile Ltd","4.4"
"a1722","Flow Free: Bridges","Puzzle","Big Duck Games LLC","4.3","b136","Flow Free: Bridges","Entertainment","Big Duck Games LLC","4.66455"
"a3524","Unblock Me","Puzzle","Kiragames Co., Ltd.","4.5","b142","Unblock Me","Entertainment","Kiragames Co., Ltd.","4.76667"
"a1729","Flow Free: Hexes","Puzzle","Big Duck Games LLC","4.6","b147","Flow Free: Hexes","Entertainment","Big Duck Games LLC","4.70858"
"a1864","Jigsaw Puzzles Epic","Puzzle","Kristanix Games","4.5","b216","Jigsaw Puzzles Epic","Games","Kristanix Games","4.6048"
"a745","RISK: Global Domination","Strategy","SMG Studio","4.1","b227","RISK: Global Domination","Strategy","SMG Studio","3.73333"
"a2683","Slots Journey 2","Casino","Murka Ltd.","4.3","b255","Slots Journey 2","Casino","Murka Entertainment Limited","2.89744"
"a613","Yu-Gi-Oh! Duel Generation","Card","Konami Digital Entertainment, Inc.","4.3","b269","Yu-Gi-Oh! Duel Generation","Card","Konami Digital Entertainment","4.29155"
"a1426","Rival Stars Basketball","Sports","PIKPOK","4.5","b281","Rival Stars Basketball","Card","PikPok","4.81818"
"a1809","Jigty Jigsaw Puzzles","Puzzle","Outfit7","4.3","b285","Jigty Jigsaw Puzzles","Board","Outfit7 Limited","4.31429"
"a401","PewDiePie's Tuber Simulator","Casual","Outerminds Inc.","4.8","b346","PewDiePie's Tuber Simulator","Board","Outerminds Inc.","4.83784"
