,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_name,ltable_category,ltable_developer,ltable_rating,rtable_name,rtable_category,rtable_developer,rtable_rating,label
3018,30692,30692,a2306,b2285,Best Dress Up and Makeup Games,Casual,Best Girls Dress Up Makeup and Nail Manicure Games,3.8,"Makeup Girls - Wedding Dress Up &amp; Make Up Games for girls, by Pazu",Educational,Pazu Games Ltd,4.02412,0
1364,11078,11078,a1501,b1178,Guess the Word,Word,"Random Logic Games, LLC",4.2,Song Duel - Guess the songs and artists! Multiplayer music trivia game.,Entertainment,W8 LLC,3.23529,0
3817,37880,37880,a734,b3118,Champion of the Gods,Role Playing,Choice of Games LLC,4.5,"Guess The Movie Game - A film pop quiz trivia to test your knowledge of blockbusters. From Conjuring and Carrie to Despicable Me, Thor and Jackass: quotes, hints, posters, actors &amp; actresses.",Word,W8 LLC,4.6041,0
764,8045,8045,a147,b697,Enigmatis - Hidden Object Game,Casual,Big Fish Games,4.3,"Game Finder: Best Hidden Object, Puzzle &amp; Mystery",Inc,"Big Fish Games, Inc",4.38776,0
4130,42755,42755,a565,b3542,Order & Chaos Duels,Card,Gameloft,4.4,Order &amp; Chaos Online - Fantasy 3D MMORPG,Adventure,Gameloft,4.61111,0
1292,10195,10195,a588,b1115,Hearts Card Game FREE,Card,Breakout Games,4.3,Racing Penguin Free - Top Flying and Diving Game,Games,Top Free Games,4.38982,0
1495,13642,13642,a1133,b1286,Coloring book for kids,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,Action Neon Lights Retro Racer Mania Game - Top RPG Adventure Runner Rider 3D Games For Boys Girls &amp; Kids For Free,Racing,uTappz Mobile Development LLC,4.38596,0
4064,42213,42213,a1439,b3467,Hanging With Friends,Word,Zynga,4.2,Words With Friends: Free Word Game - Fun for All,Word,Zynga Inc.,4.28902,0
3788,37125,37125,a775,b3069,Clash of Lords: New Age,Strategy,IGG.COM,4.6,Castle Clash: Rise of Beasts,Action,IGG.COM,3.69272,0
1047,9315,9315,a2412,b966,Angry Birds Space,Arcade,Rovio Entertainment Ltd.,4.4,Angry Birds Star Wars,Action,Rovio Entertainment Ltd,4.13737,0
864,8599,8599,a2251,b812,Restaurant Story 2,Casual,Storm8 Studios,3.9,Zoo Story 2 - Best Pet and Animal Game with Friends!,Simulation,Storm8 Studios,4.33333,0
674,7655,7655,a1324,b633,Angry Birds POP Bubble Shooter,Casual,Rovio Entertainment Ltd.,4.5,Angry Birds Transformers,Action,Rovio Entertainment Ltd,3.4,0
2378,20693,20693,a2589,b1845,Choice of the Ninja,Role Playing,Choice of Games LLC,4,Slots of the Caribbean Free,Entertainment,Avalinx LLC,829 Ratings,0
1535,14700,14700,a815,b1336,Life of a Wizard,Role Playing,Hosted Games,4.6,Rock Life - Guitar Band Revenge of Hero Rising Star,Music,Zeeppo Games Ltda,4.44913,0
3167,33205,33205,a258,b2463,Where's My Water? Free,Puzzle,Disney,4.3,Where's My Water?,Entertainment,Disney,3.91534,0
2829,27784,27784,a3336,b2117,Explorium: Space for Kids,Educational,Applied Systems Ltd.,4.4,"Girls Hair Salon - Hair Style &amp; Makeover Games for Kids, by Pazu",Family,Pazu Games Ltd,4.05495,0
2462,22433,22433,a2939,b1911,Royal Princess: Kids Puzzles,Puzzle,Puzzle Games for Kids,5,Kids Learning Puzzles: The Family Handyman - Tangram Building Blocks Make Your Brain Pop,Dice,Swipea Kids Apps,14 Ratings,0
3076,31745,31745,a3621,b2337,Birthday party: Games for kids,Educational,Preschool & Kindergarten Learning Kids Games,4,"Makeup Girls - Make Up &amp; Beauty Salon games for girls, by Pazu",Educational,Pazu Games Ltd,4.03071,0
427,5505,5505,a2294,b457,Plants vs. Zombies\u2122,Casual,ELECTRONIC ARTS,4,Plants vs. Zombies Heroes,Card,Electronic Arts,4.34148,0
1567,15197,15197,a1726,b1374,2048 Number puzzle game,Puzzle,Estoty Entertainment LLC,4.4,Triple Town - Fun &amp; addictive puzzle matching game,Strategy,"Spry Fox, LLC",4.57616,0
3027,30829,30829,a1098,b2292,Train Games for Kids: Puzzles,Education,Scott Adelman Apps Inc,3.8,Milkshake Maker FREE Food Cooking Games for Girls,Educational,Fat Free Apps,4.05618,0
923,8800,8800,a3006,b861,Tetris Block Puzzle Brick Game,Casual,Baca Baca Games,4.1,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628,0
240,3673,3673,a406,b304,Reversi Free - King of Games,Casual,Cross Field Inc.,4.3,Triple Double Jackpot Slots Free Slot Games Casino,Entertainment,"Rocket Speed, Inc.",4.84327,0
2203,19165,19165,a385,b1767,ULTRA4 Offroad Racing,Racing,Gigabit Games,4.1,MMX Hill Climb Off-Road Racing,Action,Hutch Games Ltd,4.49934,0
2575,24202,24202,a1129,b1997,Kids doodle games for toddlers,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,Cool Kids Fun Run - Best Dirt Bike Games for Boys &amp; Girls,Entertainment,"Mega Rock, LLC",3.54545,0
670,7651,7651,a1731,b633,Angry Birds Star Wars HD,Arcade,Rovio Entertainment Ltd.,4.2,Angry Birds Transformers,Action,Rovio Entertainment Ltd,3.4,0
3080,31762,31762,a756,b2337,Bike Race Pro by T. F. Games,Racing,Top Free Games.,4.7,"Makeup Girls - Make Up &amp; Beauty Salon games for girls, by Pazu",Educational,Pazu Games Ltd,4.03071,0
3617,36170,36170,a2602,b2914,SAMURAI vs ZOMBIES DEFENSE 2,Action,Glu,4.5,Samurai vs Zombies Defense 2,Action,Glu Games Inc,4.3552,1
1768,16174,16174,a1576,b1535,Angry Birds Go!,Racing,Rovio Entertainment Ltd.,4.2,Angry Birds Rio,Puzzle,Rovio Entertainment Ltd,3.925,0
2455,22357,22357,a3688,b1906,Xtreme Racing 2 - Speed Car RC,Racing,Genera Games,4.2,`Stickman Police Car Crime Chase Race: The Doodle Chase Racing Free by Top Crazy Games,Top Crazy Games LLC,Top Crazy Games LLC,3.4,0
3443,35289,35289,a3637,b2744,Fast Car Parking,Simulation,Defne Games,4.2,Police Car Parking Simulator Game - Real Life Emergency Driving Test Sim Racing Games,Play With Games Ltd,Play With Games Ltd,4.23465,0
3711,36765,36765,a1849,b3009,Imago - Puzzle Game,Puzzle,Arkadium Games,4.4,Cascade: Free Spin and Match Puzzle Game!,Inc,"Big Fish Games, Inc",4.80089,0
4221,43475,43475,a766,b3620,Rivals at War: Firefight,Action,Hothead Games,4.4,Rivals at War,Simulation,Hothead Games Inc.,3.57426,0
1023,9272,9272,a2489,b937,Tap Tap Dash,Arcade,Cheetah Games,4.5,Tap Tap Dash,Action,Cheetah Technology Corporation Limited,4.3624,1
728,7774,7774,a279,b654,Real Racing 3,Racing,ELECTRONIC ARTS,4.4,Real Racing 3,Action,Electronic Arts,4.41775,1
133,2229,2229,a126,b200,PowerVocab Word Game,Educational,Trymph Inc.,3.9,Word Chums - The Exclusive Crossword Puzzle Game,Board,"PeopleFun, Inc.",4.87101,0
