,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_name,ltable_category,ltable_developer,ltable_rating,rtable_name,rtable_category,rtable_developer,rtable_rating,label
1119,9496,9496,a769,b1005,Iron Force,Action,Chillingo,4.2,Iron Force,Arcade,Chillingo Ltd,3.95538,1
3170,33208,33208,a3138,b2463,Where's My Water?,Puzzle,Disney,4.7,Where's My Water?,Entertainment,Disney,3.91534,1
1798,16348,16348,a2455,b1551,Sniper Shooter Free - Fun Game,Action,Fun Games For Free,4.5,Mouse Maze Free - Top Brain Puzzle Game,Games,Top Free Games,4.06959,0
481,6136,6136,a2673,b508,Slots Casino Games God of Sky,Casino,Free Slots & Casino games by Huuuge,4.6,Old Vegas Slots: Free Classic Casino Slot Machines,LLC,"DGN Games, LLC",3.28571,0
559,6824,6824,a2609,b549,Slot Casino - Slot Machines,Board,Candy Mobile,4.4,Big Win Slots- New Las Vegas Casino Slot Machines,Entertainment,Mobile Deluxe,4.5,0
410,5400,5400,a2745,b449,GSN Casino: Free Slot Machines,Casino,"GSN Games, Inc.",4.3,Hot Vegas Slots Casino: Free Slot Games,Super Lucky Casino Inc.,Super Lucky Casino Inc.,4.75687,0
2618,24937,24937,a2332,b2025,Covet Fashion - Dress Up Game,Casual,Crowdstar Inc,4.1,iRoll Up Friends: Multiplayer Rolling and Smoking Simulator Game,Inc.,"Tapgang Apps and Games, Inc.",3.125,0
2301,19544,19544,a2914,b1815,Happy Kids: Baby Shapes 2-5,Educational,Oriplay Games,4.3,A Little Crazy Pet Vet Baby Boo Hospital - My virtual fun care dentist doctor nose eye hair nail salon office for plush pets makeover games for kids boys &amp; girls,Games,Tic Toc Pocket Games,3.58621,0
1367,11105,11105,a3090,b1183,Little Super Chef Cooking Game,Casual,Girl Games - Vasco Games,4.4,Kitchen Craze: World Cooking Chef Fever,Entertainment,FlowMotion Entertainment: Top Free Fun Addictive Cool Games Inc,4.64669,0
872,8645,8645,a2606,b821,Ninja Fishing,Adventure,"Gamenauts, Inc.",4.3,Ninja Fishing,Adventure,Gamenauts,4.49153,1
2192,19113,19113,a2455,b1764,Sniper Shooter Free - Fun Game,Action,Fun Games For Free,4.5,Car Race by Fun Games For Free,Racing,Fun Games For Free,4.60419,0
1220,9863,9863,a1731,b1061,Angry Birds Star Wars HD,Arcade,Rovio Entertainment Ltd.,4.2,Angry Birds Star Wars II,Action,Rovio Entertainment Ltd,4.42187,0
1300,10217,10217,a1538,b1121,Trivia Crack,Trivia,Etermax,4.5,Trivia Crack,Family,Etermax,3.79339,1
3083,31777,31777,a3541,b2337,Wedding Makeup Girls,Educational,Pazu Games,3.9,"Makeup Girls - Make Up &amp; Beauty Salon games for girls, by Pazu",Educational,Pazu Games Ltd,4.03071,0
1721,15997,15997,a309,b1525,Bubble Witch 3 Saga,Puzzle,King,4.7,Bubble Witch Saga,Arcade,King,4.0284,0
3701,36739,36739,a2455,b3009,Sniper Shooter Free - Fun Game,Action,Fun Games For Free,4.5,Cascade: Free Spin and Match Puzzle Game!,Inc,"Big Fish Games, Inc",4.80089,0
1334,10366,10366,a3637,b1146,Fast Car Parking,Simulation,Defne Games,4.2,Auto Police Fast Speed 3D Car Chase - Free Racing Game,Games,Sixfeed Games,3.77027,0
4042,42139,42139,a18,b3463,Word Streak-Words With Friends,Word,Zynga,4.5,Hanging With Friends Free,Puzzle,Zynga Inc.,171872 Ratings,0
2369,20584,20584,a2939,b1839,Royal Princess: Kids Puzzles,Puzzle,Puzzle Games for Kids,5,Kids Learning Puzzles: Dogs - My Math Educreations Brain Pop Building Blocks,Trivia,Swipea Kids Apps,31 Ratings,0
2100,18559,18559,a1304,b1693,Shift Racing 3D,Sports,ZTASTAR GAMES,4,3D Police Drag Racing Driving Simulator Game: Race The Real Turbo Chase,Games,Mountain Wizard Games,4.3091,0
1943,17093,17093,a1956,b1609,4x4 Offroad Driving 3D,Simulation,i6 Games,3.7,3D Sports Cars Parking Simulator Racing Game ~ Real Driving Test Run Park Sim Games,Play With Games Ltd,Play With Games Ltd,4.03095,0
1491,13522,13522,a2418,b1284,Hoppy Frog 2 - City Escape,Arcade,Turbo Chilli,4.5,Hoppy Frog 2 - City Escape,Music,Turbo Chilli Pty Ltd,4.6675,1
2966,30291,30291,a3597,b2255,Jigsaw Puzzle Games for Kids,Educational,KidZone Studios,4.3,Pet Beauty Salon - Kids Spa Games (Boys &amp; Girls),Role Playing,Ninjafish Studios,1012 Ratings,0
543,6725,6725,a2743,b544,Slotomania Free Slots 777,Casino,Playtika,4.4,Caesars Slots Free Slot Machine Games,Playtika LTD,Playtika LTD,4.64308,0
