"ID","name","category","developer","rating"
"1","Candy Crush Saga","Casual","King","4.554035"
"2","Super Mario Run","Action","Nintendo Co., Ltd.","3.33734"
"3","Jetpack Joyride","Arcade","Halfbrick Studios","4.421695"
"4","Temple Run","Arcade","Imangi Studios","4.170195"
"5","Subway Surfers","Arcade","Kiloo","4.496675"
"6","Hill Climb Racing","Racing","Fingersoft","4.423215"
"7","Sonic Dash","Arcade","SEGA","4.49338"
"8","Super Stickman Golf 2","Sports","Noodlecake Studios Inc","4.41765"
"9","Demi Lovato: Path to Fame","Casual","Episode Interactive","4.220895"
"10","Real Boxing","Sports","Vivid Games S.A.","4.311935"
"11","Threes! Free","Puzzle","Sirvo llc","4.02034"
"12","Wordox The Word Snatcher","Word","IsCool Entertainment","4.3"
"13","Mahjong Epic","Board","Kristanix Games","4.588095"
"14","Heroes of Camelot","Role Playing","Gaea Mobile Limited","4.35"
"15","Flow Free: Bridges","Puzzle","Big Duck Games LLC","4.482275"
"16","Unblock Me","Puzzle","Kiragames Co., Ltd.","4.633335"
"17","Flow Free: Hexes","Puzzle","Big Duck Games LLC","4.65429"
"18","Jigsaw Puzzles Epic","Puzzle","Kristanix Games","4.5524"
"19","RISK: Global Domination","Strategy","SMG Studio","3.916665"
"20","Slots Journey 2","Casino","Murka Ltd.","3.59872"
"21","Yu-Gi-Oh! Duel Generation","Card","Konami Digital Entertainment, Inc.","4.295775"
"22","Rival Stars Basketball","Sports","PIKPOK","4.65909"
"23","Jigty Jigsaw Puzzles","Puzzle","Outfit7","4.307145"
"24","PewDiePie's Tuber Simulator","Casual","Outerminds Inc.","4.81892"
"25","WWE SuperCard","Sports","2K, Inc.","4.18343"
"26","Chess With Friends Free","Board","Zynga","4.2449"
"27","Bingo Rush 2","Casino","Playtika Santa Monica","4.0"
"28","Spades Plus","Card","Peak Games","4.5"
"29","Magic Jigsaw Puzzles","Puzzle","ZiMAD","4.450845"
"30","Block! Hexa Puzzle","Puzzle","BitMango","4.404045"
"31","Texas HoldEm Poker Deluxe","Casino","IGG.COM","3.545455"
"32","Pyramid Solitaire Saga","Card","King","4.4"
"33","Fairway Solitaire Blast","Card","Big Fish Games","4.65876"
"34","Chess Free","Board","Optime Software","3.986635"
"35","Checkers Free","Board","Optime Software","3.946765"
"36","Two Dots","Puzzle","Playdots, Inc.","4.30991"
"37","Rolling Sky","Board","Cheetah Games","4.50828"
"38","Unblock Me FREE","Puzzle","Kiragames Co., Ltd.","4.52693"
"39","Flow Free","Puzzle","Big Duck Games LLC","4.442875"
"40","Words With Friends Classic","Word","Zynga","3.718025"
"41","Heads Up!","Word","Warner Bros. International Enterprises","4.36282"
"42","Tiny Tower Vegas","Casual","NimbleBit LLC","4.341445"
"43","Bingo Blingo","Casino","Rockyou Inc.","3.192855"
"44","Ace Fishing: Wild Catch","Sports","Com2uS USA","4.475"
"45","Running Fred","Arcade","Dedalord","4.315125"
"46","Basketball Showdown","Sports","Naquatic LLC","4.282695"
"47","Real Boxing 2 ROCKY","Sports","Vivid Games S.A.","3.983335"
"48","TAP SPORTS BASEBALL 2015","Sports","Glu","4.320505"
"49","Hot Wheels: Race Off","Racing","Hutch Games","4.42009"
"50","Bingo Pop","Casino","Uken Games","4.176925"
"51","MARVEL Future Fight","Role Playing","Netmarble Games","4.365095"
"52","MONOPOLY Bingo!","Casino","Storm8 Studios","4.187045"
"53","Zombie Road Trip","Racing","Noodlecake Studios Inc","4.316665"
"54","Bloons TD 5","Strategy","ninja kiwi","4.59565"
"55","Zombie Highway 2","Action","Auxbrain Inc","4.41271"
"56","F18 Carrier Landing Lite","Simulation","RORTOS","4.221945"
"57","Score! Hero","Sports","First Touch","4.64307"
"58","Mad Skills Motocross 2","Racing","Turborilla","4.21234"
"59","King of Thieves","Strategy","ZeptoLab","4.497115"
"60","WWE Immortals","Action","Warner Bros. International Enterprises","4.384405"
"61","War Dragons","Strategy","Pocket Gems","4.319225"
"62","MMX Racing","Racing","Hutch Games","4.41494"
"63","LINE: Disney Tsum Tsum","Puzzle","LINE Corporation","3.88125"
"64","Drive Ahead!","Racing","Dodreams Ltd.","4.4"
"65","World of Tanks Blitz","Action","Wargaming Group","4.047435"
"66","Cut the Rope: Experiments FREE","Puzzle","ZeptoLab","4.19999"
"67","Shadow Fight 2","Action","NEKKI","4.63476"
"68","Dude Perfect 2","Action","Miniclip.com","4.59986"
"69","Real Steel World Robot Boxing","Action","Reliance Big Entertainment (UK) Private Limited","4.42887"
"70","Archery King","Sports","Miniclip.com","4.401405"
"71","Zombie Highway","Action","Auxbrain Inc","4.363285"
"72","Bloons TD Battles","Strategy","ninja kiwi","4.53203"
"73","DEER HUNTER 2017","Action","Glu","4.123685"
"74","MORTAL KOMBAT X","Action","Warner Bros. International Enterprises","4.33966"
"75","Fun Run 2 - Multiplayer Race","Arcade","Dirtybit","4.5"
"76","Castle Clash: Rise of Beasts","Strategy","IGG.COM","4.14636"
"77","Injustice: Gods Among Us","Action","Warner Bros. International Enterprises","4.53009"
"78","Dumb Ways to Die 2: The Games","Casual","Metro Trains","4.014635"
"79","Boom Beach","Strategy","Supercell","4.37127"
"80","Angry Birds 2","Casual","Rovio Entertainment Ltd.","4.5526"
"81","Clash Royale","Strategy","Supercell","4.396655"
"82","Real Racing 3","Racing","ELECTRONIC ARTS","4.408875"
"83","DEER HUNTER CLASSIC","Action","Glu","4.442645"
"84","Clash of Clans","Strategy","Supercell","4.530065"
"85","ZOMBIES ATE MY FRIENDS","Adventure","Glu","4.46654"
"86","GUN BROS 2","Action","Glu","4.490195"
"87","Nimble Quest","Arcade","NimbleBit LLC","4.2805"
"88","Random Heroes","Arcade","Noodlecake Studios Inc","4.26818"
"89","Grand Theft Auto: Vice City","Arcade","Rockstar Games","4.2"
"90","Monument Valley","Puzzle","ustwo games","4.63629"
"91","Grand Theft Auto: San Andreas","Action","Rockstar Games","4.4"
"92","Hard Time (Prison Sim)","Adventure","MDickie","3.975"
"93","Agent Alice","Puzzle","Wooga","4.455165"
"94","Arrow Ambush","Strategy","Zoom Inc","4.27857"
"95","Temple Run: Oz","Arcade","Disney","4.263925"
"96","Tap Titans","Role Playing","Game Hive Corporation","4.73545"
"97","STARDOM: HOLLYWOOD","Adventure","Glu","4.41569"
"98","Grand Theft Auto III","Action","Rockstar Games","3.9"
"99","Brave Frontier","Role Playing","gumi Inc.","4.500465"
"100","Froggy Jump","Arcade","Invictus Games Ltd.","4.0875"
"101","MARVEL Avengers Academy","Adventure","TinyCo","4.163635"
"102","The Sims 3","Simulation","ELECTRONIC ARTS","2.512365"
"103","Assassin's Creed Pirates","Action","Ubisoft Entertainment","4.394845"
"104","The Silent Age","Adventure","House on Fire","4.47307"
"105","CSI: Hidden Crimes","Puzzle","Ubisoft Entertainment","4.152235"
"106","The Trail","Simulation","Kongregate","4.228455"
"107","Rayman Adventures","Adventure","Ubisoft Entertainment","4.5"
"108","CONTRACT KILLER: SNIPER","Action","Glu","4.188225"
"109","Ninja Fishing","Adventure","Gamenauts, Inc.","4.395765"
"110","CONTRACT KILLER 2","Action","Glu","4.285385"
"111","Minecraft: Story Mode","Adventure","Telltale Games","4.354875"
"112","Gangstar Vegas","Action","Gameloft","4.446665"
"113","FRONTLINE COMMANDO: D-DAY","Action","Glu","4.5"
"114","Littlest Pet Shop","Casual","Gameloft","4.36579"
"115","DINO HUNTER: DEADLY SHORES","Action","Glu","4.396665"
"116","DEAD TRIGGER 2","Action","MADFINGER Games","4.565885"
"117","Six-Guns: Gang Showdown","Action","Gameloft","4.39599"
"118","Angry Birds Epic RPG","Role Playing","Rovio Entertainment Ltd.","4.597565"
"119","Doodle Jump","Arcade","Lima Sky LLC","4.5875"
"120","DEAD TRIGGER","Action","MADFINGER Games","4.578635"
"121","MARVEL Contest of Champions","Action","Kabam","4.486205"
"122","KIM KARDASHIAN: HOLLYWOOD","Adventure","Glu","4.47439"
"123","Minecraft: Pocket Edition","Arcade","Mojang","4.45424"
"124","Criminal Case","Adventure","Pretty Simple","4.50258"
"125","Temple Run 2","Action","Imangi Studios","4.17041"
"126","Giant Boulder of Death","Arcade","[adult swim] games","4.404385"
"127","Kitchen Scramble: Cooking Game","Simulation","Rockyou Inc.","3.592855"
"128","Pirate Kings","Casual","Jelly Button Games","3.882145"
"129","Amazing Ninja","Action","Ketchapp","3.89288"
"130","Shopkins World!","Arcade","Mighty Kingdom","4.164105"
